"StateName","state_id","DistrictName","DISTRICT_ID","TotalUAM","General","SC","ST","OBC","_CreatedDate"
"ANDHRA PRADESH","28","ANANTHAPUR","520","9813","4612","1147","572","3482","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","CHITOOR","511","19508","8551","3427","913","6617","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","EAST GODAVARI","512","13874","7017","2197","167","4493","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","GUNTUR","509","14824","8822","1997","537","3468","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","KRISHNA","517","13520","9023","1578","239","2680","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","KURNOOL","506","9735","4583","2313","265","2574","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","PRAKASAM","510","32874","9412","9575","983","12904","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","SPSR NELLORE","518","48534","8351","14959","4449","20775","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","SRIKAKULAM","522","3796","1050","307","90","2349","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","VISAKHAPATNAM","519","17395","8589","1221","279","7306","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","VIZIANAGARAM","513","12827","3757","1546","1734","5790","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","WEST GODAVARI","505","18527","9065","2654","177","6631","2020-06-30T08:30:29.070"
"ANDHRA PRADESH","28","Y.S.R","503","33351","9580","6192","1235","16344","2020-06-30T08:30:29.070"
"ARUNACHAL PRADESH","12","ANJAW","628","11","1","1","4","5","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","CHANGLANG","269","36","16","1","14","5","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","DIBANG VALLEY","267","11","2","2","3","4","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","EAST KAMENG","260","16","2","3","9","2","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","EAST SIANG","265","47","13","5","24","5","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","KRA DAADI","722","1","0","0","1","0","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","KURUNG KUMEY","631","12","4","0","8","0","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","LOHIT","268","53","22","1","20","10","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","LONGDING","630","3","2","0","1","0","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","LOWER DIBANG VALLEY","629","52","13","1","35","3","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","LOWER SUBANSIRI","262","67","5","0","60","2","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","PAPUM PARE","261","420","109","10","289","12","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","TAWANG","258","13","8","1","2","2","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","TIRAP","270","8","0","2","6","0","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","UPPER SIANG","266","10","1","0","9","0","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","UPPER SUBANSIRI","263","43","3","1","39","0","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","WEST KAMENG","259","44","14","2","27","1","2020-06-30T08:30:36.007"
"ARUNACHAL PRADESH","12","WEST SIANG","264","46","13","4","29","0","2020-06-30T08:30:36.007"
"ASSAM","18","BAKSA","651","196","59","13","102","22","2020-06-30T08:30:41.563"
"ASSAM","18","BARPETA","311","461","412","19","3","27","2020-06-30T08:30:41.563"
"ASSAM","18","Biswanath","725","43","18","1","6","18","2020-06-30T08:30:41.563"
"ASSAM","18","BONGAIGAON","310","240","160","20","6","54","2020-06-30T08:30:41.563"
"ASSAM","18","CACHAR","327","567","414","69","8","76","2020-06-30T08:30:41.563"
"ASSAM","18","CHIRANG","652","125","62","12","38","13","2020-06-30T08:30:41.563"
"ASSAM","18","DARRANG","314","223","180","7","5","31","2020-06-30T08:30:41.563"
"ASSAM","18","DHEMAJI","653","325","45","17","73","190","2020-06-30T08:30:41.563"
"ASSAM","18","DHUBRI","308","317","262","16","0","39","2020-06-30T08:30:41.563"
"ASSAM","18","DIBRUGARH","321","850","475","44","45","286","2020-06-30T08:30:41.563"
"ASSAM","18","DIMA HASAO","654","28","11","0","13","4","2020-06-30T08:30:41.563"
"ASSAM","18","GOALPARA","309","246","202","11","15","18","2020-06-30T08:30:41.563"
"ASSAM","18","GOLAGHAT","324","605","318","43","30","214","2020-06-30T08:30:41.563"
"ASSAM","18","HAILAKANDI","329","151","127","8","1","15","2020-06-30T08:30:41.563"
"ASSAM","18","HOJAI","727","1","1","0","0","0","2020-06-30T08:30:41.563"
"ASSAM","18","JORHAT","323","323","222","14","9","78","2020-06-30T08:30:41.563"
"ASSAM","18","KAMRUP","312","941","754","38","31","118","2020-06-30T08:30:41.563"
"ASSAM","18","KAMRUP METRO","319","3033","2362","169","106","396","2020-06-30T08:30:41.563"
"ASSAM","18","KARBI-ANGELONG","325","207","83","21","48","55","2020-06-30T08:30:41.563"
"ASSAM","18","KARIMGANJ","328","310","234","24","1","51","2020-06-30T08:30:41.563"
"ASSAM","18","KOKRAJHAR","307","169","76","7","61","25","2020-06-30T08:30:41.563"
"ASSAM","18","LAKHIMPUR","318","339","146","18","24","151","2020-06-30T08:30:41.563"
"ASSAM","18","MAJULI","728","6","0","0","2","4","2020-06-30T08:30:41.563"
"ASSAM","18","MARIGAON","315","170","107","8","11","44","2020-06-30T08:30:41.563"
"ASSAM","18","NAGAON","316","872","658","67","5","142","2020-06-30T08:30:41.563"
"ASSAM","18","NALBARI","313","166","141","6","3","16","2020-06-30T08:30:41.563"
"ASSAM","18","SIVASAGAR","322","427","202","22","11","192","2020-06-30T08:30:41.563"
"ASSAM","18","SONITPUR","317","609","355","45","33","176","2020-06-30T08:30:41.563"
"ASSAM","18","TINSUKIA","320","606","402","22","9","173","2020-06-30T08:30:41.563"
"ASSAM","18","UDALGURI","326","164","44","21","62","37","2020-06-30T08:30:41.563"
"ASSAM","18","WEST KARBI ANGLONG","730","1","0","0","0","1","2020-06-30T08:30:41.563"
"BIHAR","10","ARARIA","223","38606","6120","3962","1452","27072","2020-06-30T08:30:47.223"
"BIHAR","10","ARWAL","613","1921","497","274","39","1111","2020-06-30T08:30:47.223"
"BIHAR","10","AURANGABAD","250","3701","1452","376","112","1761","2020-06-30T08:30:47.223"
"BIHAR","10","BANKA","239","9793","2510","1062","290","5931","2020-06-30T08:30:47.223"
"BIHAR","10","BEGUSARAI","236","22450","6017","3988","604","11841","2020-06-30T08:30:47.223"
"BIHAR","10","BHAGALPUR","238","16161","6614","1398","415","7734","2020-06-30T08:30:47.223"
"BIHAR","10","BHOJPUR","245","4400","1641","522","80","2157","2020-06-30T08:30:47.223"
"BIHAR","10","BUXAR","246","3748","1222","474","89","1963","2020-06-30T08:30:47.223"
"BIHAR","10","DARBHANGA","229","32985","6582","6751","1912","17740","2020-06-30T08:30:47.223"
"BIHAR","10","GAYA","251","14843","4213","3192","226","7212","2020-06-30T08:30:47.223"
"BIHAR","10","GOPALGANJ","231","6846","2241","568","325","3712","2020-06-30T08:30:47.223"
"BIHAR","10","JAMUI","253","7443","1696","1561","206","3980","2020-06-30T08:30:47.223"
"BIHAR","10","JEHANABAD","249","2468","775","394","64","1235","2020-06-30T08:30:47.223"
"BIHAR","10","KAIMUR (BHABUA)","247","3849","1021","783","137","1908","2020-06-30T08:30:47.223"
"BIHAR","10","KATIHAR","226","12114","4819","730","651","5914","2020-06-30T08:30:47.223"
"BIHAR","10","KHAGARIA","237","10143","2245","1213","354","6331","2020-06-30T08:30:47.223"
"BIHAR","10","KISHANGANJ","224","12196","6864","693","306","4333","2020-06-30T08:30:47.223"
"BIHAR","10","LAKHISARAI","241","6093","1594","873","104","3522","2020-06-30T08:30:47.223"
"BIHAR","10","MADHEPURA","227","6211","1240","845","233","3893","2020-06-30T08:30:47.223"
