"STATE/UT","No. of Companies - Public Limited*","No. of Companies - Private Limited**","No. of Companies - Total***"
"ANDHRA PRADESH","40","31","71"
"ARUNACHAL PRADESH","1","3","4"
"ASSAM","24","15","39"
"BIHAR","24","5","29"
"CHHATISGARH","17","4","21"
"GOA","12","3","15"
"GUJARAT","68","4","72"
"HARYANA","15","2","17"
"HIMACHAL PRADESH","9","7","16"
"JAMMU & KASHMIR","12","4","16"
"JHARKHAND","15","10","25"
"KARNATAKA","70","15","85"
"KERALA","67","32","99"
"MADHYA PRADESH","49","11","60"
"MAHARASHTRA","107","59","166"
"MANIPUR","2","0","2"
"MEGHALAYA","8","6","14"
"MIZORAM","2","2","4"
"NAGALAND","1","2","3"
"ORISSA","44","7","51"
"PUNJAB","7","3","10"
"RAJASTHAN","51","2","53"
"TAMIL NADU","58","14","72"
"TRIPURA","5","4","9"
"UTTAR PRADESH","83","9","92"
"UTTRAKHAND","15","2","17"
"WEST BENGAL","71","23","94"
"DELHI","112","32","144"
"A & N ISLAND","1","1","2"
"CHANDIGARH","19","9","28"
"DAMAN & DIU","1","0","1"
"D & N HAVELI","2","0","2"
"LAKSHDWEEP","0","1","1"
"PUDUCHERRY","0","15","15"
